Brands,Category,Example_Youtube_Link,Internatoina vs. no,Y or N comments,
Five guys (1ad),Food,https://www.youtube.com/watch?v=zPK_AxtMPLE,,,
Starbucks Coffee (2ads),Food,https://youtu.be/kpGybd7mQmU,,,
,,https://youtu.be/oq9DcWr3t4U,,,
Panda Express (2),Food,https://youtu.be/TMyrUIB5Yug,,,
,,https://youtu.be/A2ppna5llTE,,,
IKEA ,Furniture,https://youtu.be/8wdxlo3SzkM,us,,
,,https://youtu.be/bCMDfvuuN4o,UK,,
,,https://youtu.be/zg0Hei0cjl0,espana (english),,
Shell (1),gasoline,https://www.youtube.com/watch?v=dvv51YGoKj8,,,
Fareway Stores (2),Grocery,https://youtu.be/hGBR9WxRY9k,,,
,,https://youtu.be/1vu17gO5frA,,,
kroger,Grocery,https://youtu.be/713wOFahyak,,,
,,https://youtu.be/QAx7FYlaf_A,,,
,,https://youtu.be/sJrKIQnR2kM,,,
3M,Health,https://www.youtube.com/watch?v=0qgaMIvvEIs,,,
,,https://youtu.be/F667eucNLEI,,,
,,https://youtu.be/5oWU-usXNjo,,,
Molina Healthcare,Health,https://youtu.be/6KmhMd52Dvw,,,
,,https://youtu.be/Pw916-bqunc,,,
,,https://youtu.be/TK_fOzOChOE,,,
Blue shield of california,Health,https://www.youtube.com/watch?v=wUDQv0b0edU,,,
,,https://youtu.be/suES8kyiCpY,,,
,,https://youtu.be/8n5T-zwICTQ,,,
GE Healthcare (likes low) 1ad,Health,https://youtu.be/hj471XIIcgg,,,
Delta Dental of Iowa (1),Health,https://youtu.be/8OS_YgepEH0,"has different brands in some states, likes low",,
Marriott International ,Hotel,https://youtu.be/VXGEeydxN90,indonesia,,
,,https://youtu.be/YPs0_zg6tuc,indonesia,,
,,https://youtu.be/Cx4etpebRSc,indonesia,,
Nationwide Insurance (1),Insurance,https://www.youtube.com/watch?v=clIfHRbMvQ4,,,
Farmers Insurance,Insurance,https://youtu.be/Iz9bvfPaALQ,,,
,,https://youtu.be/VAGVnnIGjLo,,,
,,https://youtu.be/90LiIqxx4kI,,,
Interior Federal Credit Union (1),Insurance,https://www.youtube.com/watch?v=yeA-yco4Cuc,,,
Cigna,Insurance,https://youtu.be/RIEJzI9qp_8,,,
,,https://youtu.be/y4o23bhFLNo,,,
,,https://youtu.be/bDG3DahBwcc,,,
GEICO (2),Insurance,https://www.youtube.com/watch?v=uAQF3_KbGDM,,,
,,https://youtu.be/WqP7g9yoHs4,,,
State Farm (1),Insurance,https://youtu.be/XU91f1ee0zo,,,
Google,Internet,https://youtu.be/QRRnoCHC8vg,,,
,,https://youtu.be/-rtuEgAHWw0,,,
,,https://youtu.be/9iPvLx7gotk,,,
Facebook,Internet,https://www.youtube.com/watch?v=nWwVFywBCeY,,,
,,https://youtu.be/fcEpTfXPhnw,,,
,,https://youtu.be/AARdkJfTYFY,,,
microsoft,Internet,https://youtu.be/Bohfd_taj2Q,,,
,,https://youtu.be/5sb2eCbEzPw,,,
,,https://youtu.be/W6_dWvQYnno,,,
Uber,Internet,https://www.youtube.com/watch?v=_e8XLnMiCOE,,,
,,https://youtu.be/FNjo5wlE-l0,,,
,,https://youtu.be/ih1zuU269og,"picked this one, 5th",,
Grubhub (2),food/app?,https://youtu.be/t1Ir_e8Clxg,,,
Doordash (1) tech company,Internet,https://youtu.be/NIbddB4YPjA,,,
Slack (1),Internet,https://youtu.be/hdHWQgVbVSQ,,,
Lyft,Internet,https://youtu.be/uwJNZXrnWIk,,,
,,https://youtu.be/2iAd4mvdPkA,,,
,,https://youtu.be/gbZ2f1kPOIk,,,
Grab (2),Internet,https://youtu.be/Y8FcJ6erB_0,,,
,,https://youtu.be/bfZv3aHKpaU,,,
Airbnb (1),Internet,https://www.youtube.com/watch?v=XhaTCzKrEtE,,,
Pinterest (1),Internet,https://www.youtube.com/watch?v=0kCVlMhSV90,,,
Salesforce (1),Internet,https://www.youtube.com/watch?v=hSm5ODjdkF0,,,
Twitter (1),Internet,https://www.youtube.com/watch?v=kv_JGodpToI,,,
Youtube ,Internet,https://www.youtube.com/watch?v=6egQkFx7UkM,,,
,,https://youtu.be/LeKzvbBb5QQ,,,
,,https://youtu.be/gznuqMpFJ7E,,,
IBM,IT Solution,https://www.youtube.com/watch?v=cW4fPWmaXsY,,,
,,https://youtu.be/w2cjw0LZvLU,,,
John Deere,manufacture,https://www.youtube.com/watch?v=Z5zbT7JD-iw,,,
,,https://youtu.be/cx7VlQ5W38I,,,
,,https://youtu.be/vhQbd3NaksM,,,
The New York Times (1),Media,https://www.youtube.com/watch?v=R33PT49Lor0,,,
Dove (2),Personal Care,https://www.youtube.com/watch?v=QJKVesLpQwY,,,
,,https://youtu.be/sQOq0-ODBbc,,,
PetSmart,Pet retailer,https://youtu.be/3dzfJ60ZjNE,changed to a longer one,,
,,https://youtu.be/BhrCuFPhVpY,,,
,,https://youtu.be/dXipKRgrsjQ,,,
Petco,Pet retailer,https://www.youtube.com/watch?v=IzbgEzNSMrc,,,
,,https://youtu.be/kCjMuk1SjXI,,,
,,https://youtu.be/XpVJ8-oqEDw,,,
CVS,Pharmacy/Retail,https://www.youtube.com/watch?v=XVyHMLvD0-4,,,
,,https://youtu.be/6gxp2g_13dA,,,
,,https://youtu.be/qnFCqpkYX6M,,,
Wagreen,Pharmacy/Retail,https://www.youtube.com/watch?v=l5o6NpOFYMQ,,,
,,https://youtu.be/_N-xN3HWPlw,,,
,,https://youtu.be/fZp7BdXf25s,,,
Union Pacific (2),Railroad,https://youtu.be/hPkRVOCt-rI,,,
,,https://youtu.be/cggcTyjtSGE,,,
RE/MAX,Real Estate,https://youtu.be/C74RkTCbLJ8,global,,
Amazon,Retail,https://youtu.be/_Z7PY4bOvvo,,,
,,https://youtu.be/Cu0Oip4Pwig,,,
,,https://youtu.be/mwSLYX21HGI,,,
Publix,Retail,https://www.youtube.com/watch?v=gSSXf744Rk8,,,
,,https://youtu.be/avxj2pKzBE4,,,
,,https://youtu.be/uN9lKz1x1_0,,,
Target,Retail,https://www.youtube.com/watch?v=IpK5v4NDvC8,,,
,,https://youtu.be/DwHmG8kw-pw,,,
,,https://youtu.be/raJ7LSuLNfU,,,
Tesco (1),Retail,https://www.youtube.com/watch?v=v_DaKh1_Y8I,,,
Walmart,Retail,https://youtu.be/UYp3XBQU-Jg,CEO,,
,,https://youtu.be/IRmq9rc5Dq8,,,
,,https://youtu.be/fz2d2sQUnao,,,
Best Buy,Retail,https://youtu.be/yF5rFXY1Vn8,,,
,,https://youtu.be/LeZL6lVtJtw,,,
,,https://youtu.be/_TRhWxhDhhk,,,
Office Depot,Retail,https://youtu.be/H3M1_n5dZkk,,,
,,https://youtu.be/VMYDHNsajPY,,,
,,https://youtu.be/AKwXZLQrYFo,,,
Kohl's,Retail,https://www.youtube.com/watch?v=1DszEhWYtos,,,
,,https://youtu.be/8TZwVKyg9K4,,,
,,https://youtu.be/MPXxFBpM0XQ,,,
Sam's Club (1),Retail,https://www.youtube.com/watch?v=mwx4XzAS3BM&t=16s,,,
Oracle,Software,https://youtu.be/Bmitpn8Sq7I,,,
,,https://youtu.be/qt8ETs1QW6U,,,
,,https://youtu.be/Y035AE3a8is,,,
NIKE,Sports,https://youtu.be/R-t8qPldklc,,,
Adidas ,Sports,https://www.youtube.com/watch?v=3-pVZ7MCJfQ,,,
,,https://youtu.be/Rwk5PdpTxSU,,,
,,https://youtu.be/V_ozu_7Xweg,,,
NFL (1),Sports League,https://www.youtube.com/watch?v=1-Bbj10hTbY,,,
AT&T,Telecommunication,https://www.youtube.com/watch?v=eEFe2_YocMU,picked 2,,
,,https://youtu.be/sBC5a75OywQ,,,
,,https://youtu.be/5A8rYTkWVfE,,,
Sprint (1),Telecommunication,https://youtu.be/ZtJP8SlwYus,,,
Vodafone,Telecommunication,https://youtu.be/5p95cuOuqYg,,,
,,https://youtu.be/Q2PvqVzZ7NM,UK,,
,,https://youtu.be/rjfxHRuEPuE,UK,,
Xfinity,Telecommunication,https://www.youtube.com/watch?v=1eDOzBDfQ74,picked 3,,
,,https://youtu.be/jozqPWTow58,,,
,,https://youtu.be/FU-lV2eFnsE,,,
